13:20.0	38.281	-38.017	409.695814	0.039905	0.060783	0.018016
13:30.0	38.678	-37.406	409.875826	0.039539	0.061497	0.017962
13:40.0	39.072	-36.788	410.055259	0.039163	0.062222	0.0179
13:50.0	39.462	-36.162	410.234036	0.038777	0.062959	0.017831
14:00.0	39.848	-35.528	410.412079	0.038383	0.063707	0.017754
14:10.0	40.23	-34.888	410.589312	0.037978	0.064466	0.017669
14:20.0	40.608	-34.239	410.765657	0.037564	0.065235	0.017576
14:30.0	40.982	-33.583	410.941039	0.03714	0.066015	0.017477
14:40.0	41.352	-32.919	411.115383	0.036705	0.066804	0.017369
14:50.0	41.717	-32.247	411.288614	0.03626	0.067604	0.017254
15:00.0	42.077	-31.567	411.460659	0.035804	0.068412	0.017132
15:10.0	42.433	-30.879	411.631443	0.035338	0.06923	0.017002
15:20.0	42.785	-30.182	411.800896	0.03486	0.070056	0.016866
15:30.0	43.131	-29.477	411.968945	0.034372	0.07089	0.016722
15:40.0	43.472	-28.764	412.13552	0.033872	0.071732	0.016571
15:50.0	43.809	-28.043	412.30055	0.033361	0.07258	0.016413
16:00.0	44.14	-27.313	412.463967	0.032838	0.073435	0.016249
16:10.0	44.466	-26.574	412.625703	0.032304	0.074295	0.016077
16:20.0	44.787	-25.827	412.78569	0.031757	0.07516	0.015899
16:30.0	45.102	-25.071	412.943863	0.031199	0.076029	0.015715
16:40.0	45.411	-24.306	413.100157	0.030629	0.076901	0.015524
16:50.0	45.715	-23.533	413.254507	0.030046	0.077776	0.015327
17:00.0	46.012	-22.75	413.40685	0.029451	0.078652	0.015123
17:10.0	46.304	-21.959	413.557125	0.028844	0.079528	0.014913
17:20.0	46.59	-21.16	413.705272	0.028224	0.080404	0.014698
17:30.0	46.869	-20.351	413.851229	0.027592	0.081279	0.014476
17:40.0	47.142	-19.534	413.994941	0.026947	0.08215	0.014249
17:50.0	47.408	-18.708	414.136348	0.02629	0.083017	0.014016
18:00.0	47.668	-17.873	414.275396	0.02562	0.08388	0.013777
